Claude Code スキル早見表 ― MEGURUエディション,,,,
ジャンル,スキル名,呼び方（コマンド）,こんな時に使う,MEGURUでの具体例
マーケティング・集客,Twitter/X投稿最適化,/twitter-algorithm-optimizer,Instagram・X投稿を最大リーチになるよう最適化したい,「血流改善の投稿を最適化して」→ ハッシュタグ・投稿時間・文字数まで自動提案
,コンテンツリサーチ・ライター,/content-research-writer,ブログ・note・SNS投稿の文章を調査しながら自動生成したい,「ローリング療法についてnote記事を書いて」→ 調査〜執筆まで一気通貫
,ブランドガイドライン,/brand-guidelines,MEGURUのトーン・カラー・文体を毎回一貫させたい,「MEGURUらしい言葉でこの文章を書き直して」→ 統一感のある文章に自動変換
,メール・LINE配信文,/email-campaigns,LINE告知文・メルマガ・DM文をパターン別に作りたい,「スクールモニター募集のLINE告知文を作って」→ 開封率の高い型で自動生成
,マーケティング運用,/marketing-ops,集客〜成約までの導線全体を整理・自動化したい,「MEGURUの集客フローを整理して改善案を出して」→ 施策の抜け漏れを発見
,SEO診断・改善,/seo-audit,GoogleでMEGURUが検索されやすくしたい,「MEGURUのLPのSEOを診断して」→ タイトル・見出し・キーワードを改善提案
LP・デザイン,キャンバスデザイン,/canvas-design,Instagram用サムネ・チラシ・告知画像のビジュアルを作りたい,「スクール告知のInstagramサムネを作って」→ デザイン案をHTML/CSSで自動生成
,テーマファクトリー,/theme-factory,MEGURUのブランドカラーをデザイン全体に統一適用したい,「MEGURUのカラーをLPに適用して」→ CSS変数で一括変更
,UI/UXプロマックス,/ui-ux-pro-max,LPやWebサイトのデザイン品質を業界標準まで引き上げたい,「このLPのデザインを改善して」→ 161業種のルールに基づいてUI改善案を提示
ビジネス運用,顧客サクセス管理,/customer-success-playbook,既存顧客のリピート率を上げ・アップセルのタイミングを掴みたい,「スクール受講生へのフォローアップ計画を作って」→ リピート・物販提案まで設計
,契約書・法務チェック,/contract-legal-review,スクール契約書・利用規約の法的リスクと薬機法違反を確認したい,「このスクール申込書に問題がないかチェックして」→ リスク箇所を抽出・修正提案
,請求書・売上管理,/invoice-organizer,施術・スクール・物販の売上を整理・集計したい,「今月の売上を整理してまとめて」→ 請求書を読取り・カテゴリ別に集計
,ミーティング分析,/meeting-insights-analyzer,打ち合わせの記録から要点と次のアクションを抽出したい,「この打ち合わせメモからTODOを整理して」→ 構造化されたサマリーを生成
,ファイル整理,/file-organizer,バラバラになったファイル・フォルダを整理したい,「MEGURUフォルダを整理して」→ ファイルを種別・日付ごとに自動整理
思考・企画,ブレインストーミング,/brainstorming,新しい企画・施策・コンテンツのアイデアを広げたい,「ケイ素物販の集客アイデアを出して」→ 質問で深掘りしながら発散
,タスク計画作成,/writing-plans,やることが多くて整理できない・大きなタスクを分解したい,「LP制作の手順を細かく計画して」→ ステップ別の実行可能な計画書を生成
,計画実行管理,/executing-plans,立てた計画を順番通りに実行・進捗管理したい,「さっき作った計画を実行して」→ バッチ処理で計画を順番に自動実行
,ファクトチェック,/fact-check,投稿・LPの表現が薬機法・景表法に触れないか確認したい,「この投稿文に問題がある表現がないかチェックして」→ 違反リスクを指摘
AI強化,長期記憶強化,/claude-mem,会話をまたいでMEGURUの情報を記憶させ続けたい,「今日の決定事項を記憶しておいて」→ 次のスレッドでも引き継いで使える
,自己改善エージェント,/self-improving-agent,AIに作業パターンを学習させ・精度を上げ続けたい,「MEGURUの作業ルールを学習して自動適用して」→ AIが自分でスキルを更新
