,,,,,,,
配布元：GitHub公開リポジトリ限定／X高エンゲージメント投稿ベース／カテゴリ順に整理,,,,,,,
No,カテゴリ,スキル名,,概要,ビジネス実用性,わかりやすく,GitHub URL
,,,,,,,
1,M,Marketing Skills for Claude Code,,マーケ特化スキル集（CRO／コピー／SEO監査／A/Bテスト／メール配信）。相互参照で専門ワークフロー自動化。,LP最適化・広告クリエイティブ・SEO分析・メール施策をAIで一気通貫。成長チームの業務高速化。,LPの改善案出しから広告コピー作成、SEO分析までを一気通貫で行い、マーケティング施策のPDCAを高速化するために使う。,https://github.com/coreyhaines31/marketingskills/tree/main/skills/copywriting
2,M,Email Campaigns Skill,,HTMLメール完全パターン集。デザインブロック・GIF最適化・Resend連携・/email-campaignsで配信。,メールマーケの作成・配信・最適化を自動化。顧客エンゲージメントを低コストでスケール。,HTMLメールの作成から配信までを自動化し、デザイン性の高いメルマガを専門知識なしで送るために使う。,irinabuht12-oss/email-campaigns-claude · GitHub
3,M,Lead Research Assistant Skill,,リード企業調査・適合度評価・アウトリーチ戦略提案を自動化。,営業のリード生成とパーソナライズをAIで加速。,営業先の企業情報を自動でリサーチし、相手の課題に合わせた刺さる提案メッセージを自分で作成するために使う。,https://github.com/ComposioHQ/awesome-claude-skills/tree/master/lead-research-assistant
4,M,Content Research Writer Skill,,調査・引用追加・hook改善・セクション別フィードバックで高品質コンテンツ生成。,ブログ・SEO記事を自動化。マーケティング生産性を向上。,ブログ記事の構成案作成や引用元の調査を自動化し、読者に役立つ高品質な記事を短時間で書くために使う。,https://github.com/ComposioHQ/awesome-claude-skills/tree/master/content-research-writer
5,M,Brand Guidelines Skill,,公式ブランドカラー・タイポグラフィを自動適用（ComposioHQ curated）。,資料・デザインのブランド統一を自動化。マーケ・デザイン業務の品質を向上。,社内資料を作る際に、ブランドカラーやフォントを自動で適用させ、デザインの統一感を出す手間を省くために使う。,https://github.com/ComposioHQ/awesome-claude-skills/tree/master/brand-guidelines
6,M,Competitive Ads Extractor Skill,,競合広告を抽出しメッセージング・クリエイティブを分析。,マーケティング戦略のベンチマークを自動化。,競合他社の広告を分析して、自社の広告で使うべきキャッチコピーや訴求ポイントのヒントを得るために使う。,https://github.com/ComposioHQ/awesome-claude-skills/tree/master/competitive-ads-extractor
7,M,Domain Name Brainstormer Skill,,創造的なドメイン名生成とTLD別の可用性チェック。,ブランド立ち上げ時のドメイン取得業務を即時化。,Webサイト公開に必要なドメイン取得や初期設定を自動化し、新しいプロジェクトを素早く立ち上げるために使う。,https://github.com/ComposioHQ/awesome-claude-skills/tree/master/domain-name-brainstormer
8,M,Twitter Algorithm Optimizer Skill,,Twitterアルゴリズム分析に基づき投稿最適化・リライト・エンゲージメント向上を実行。,SNS運用のオーガニックリーチを最大化。キャンペーン効果をデータ駆動で高める。,SNSの投稿内容をターゲットに合わせて自動で最適化し、フォロワーからの反応を増やすために使う。,https://github.com/ComposioHQ/awesome-claude-skills/tree/master/twitter-algorithm-optimizer
9,M,Sales Engineering Proposal Skill,,顧客要件から技術提案書・デモシナリオ・ROI算出を自動生成。,技術営業の提案品質と成約スピードを向上。営業チームの生産性をスケール。,ECサイトの商品紹介文を、SEOキーワードを盛り込みつつ魅力的な表現に一括で書き換えるために使う。,https://github.com/alirezarezvani/claude-skills/tree/main/business-growth/sales-engineer
